x_mm,dose_matrad_Gy,dose_pymatrad_Gy,diff_Gy,err_pct
-250.0,0.000000,0.000000,0.000000,nan
-247.0,0.000000,0.000000,0.000000,nan
-244.0,0.000000,0.000000,0.000000,nan
-241.0,0.000000,0.000000,0.000000,nan
-238.0,0.000000,0.000000,0.000000,nan
-235.0,0.000000,0.000000,0.000000,nan
-232.0,0.000000,0.000000,0.000000,nan
-229.0,0.000000,0.000000,0.000000,nan
-226.0,0.000000,0.000000,0.000000,nan
-223.0,0.000000,0.000000,0.000000,nan
-220.0,0.000000,0.000000,0.000000,nan
-217.0,0.000000,0.000000,0.000000,nan
-214.0,0.000000,0.000000,0.000000,nan
-211.0,0.000000,0.000000,0.000000,nan
-208.0,0.000000,0.000000,0.000000,nan
-205.0,0.000000,0.000000,0.000000,nan
-202.0,0.000000,0.000000,0.000000,nan
-199.0,0.000000,0.000000,0.000000,nan
-196.0,0.000000,0.000000,0.000000,nan
-193.0,0.000000,0.000000,0.000000,nan
-190.0,0.000000,0.000000,0.000000,nan
-187.0,0.000000,0.000000,0.000000,nan
-184.0,0.000000,0.000000,0.000000,nan
-181.0,0.000000,0.000000,0.000000,nan
-178.0,0.000000,0.000000,0.000000,nan
-175.0,0.000000,0.000000,0.000000,nan
-172.0,0.000000,0.000000,0.000000,nan
-169.0,0.000000,0.000000,0.000000,nan
-166.0,0.000000,0.000000,0.000000,nan
-163.0,0.000000,0.000000,0.000000,nan
-160.0,0.000000,0.000000,0.000000,nan
-157.0,0.000000,0.000000,0.000000,nan
-154.0,0.000000,0.000000,0.000000,nan
-151.0,25.317997,35.365293,10.047296,39.68
-148.0,42.350463,45.774035,3.423573,8.08
-145.0,48.363134,49.415663,1.052529,2.18
-142.0,50.421557,50.108799,-0.312758,-0.62
-139.0,50.721335,50.628699,-0.092636,-0.18
-136.0,50.582617,50.209769,-0.372849,-0.74
-133.0,50.265865,50.339970,0.074105,0.15
-130.0,50.162699,49.641474,-0.521225,-1.04
-127.0,49.854298,49.400299,-0.454000,-0.91
-124.0,49.376843,48.917257,-0.459586,-0.93
-121.0,49.068636,48.910102,-0.158533,-0.32
-118.0,49.305941,48.688949,-0.616992,-1.25
-115.0,48.924500,48.417206,-0.507293,-1.04
-112.0,49.038333,48.064407,-0.973926,-1.99
-109.0,49.336912,48.490568,-0.846345,-1.72
-106.0,49.180230,48.655821,-0.524409,-1.07
-103.0,49.194149,49.189390,-0.004760,-0.01
-100.0,49.881221,49.593010,-0.288211,-0.58
-97.0,51.512809,50.307899,-1.204910,-2.34
-94.0,53.464859,52.177491,-1.287369,-2.41
-91.0,55.801909,54.937722,-0.864187,-1.55
-88.0,58.747894,57.316338,-1.431556,-2.44
-85.0,60.211250,59.967445,-0.243805,-0.40
-82.0,62.426761,61.998994,-0.427767,-0.69
-79.0,64.603794,64.211840,-0.391954,-0.61
-76.0,68.498272,68.044187,-0.454086,-0.66
-73.0,75.687544,75.420588,-0.266956,-0.35
-70.0,85.847998,85.270214,-0.577784,-0.67
-67.0,99.031584,97.264868,-1.766716,-1.78
-64.0,108.603142,107.365017,-1.238125,-1.14
-61.0,114.413940,114.358627,-0.055313,-0.05
-58.0,124.371629,122.780302,-1.591327,-1.28
-55.0,136.116746,134.333021,-1.783724,-1.31
-52.0,145.976066,144.690898,-1.285168,-0.88
-49.0,155.237918,153.825210,-1.412708,-0.91
-46.0,170.919302,169.294360,-1.624943,-0.95
-43.0,190.319662,188.524916,-1.794746,-0.94
-40.0,197.914816,196.501845,-1.412971,-0.71
-37.0,200.604283,199.276665,-1.327618,-0.66
-34.0,201.199941,199.845286,-1.354655,-0.67
-31.0,202.657143,199.891566,-2.765577,-1.36
-28.0,203.315258,201.368722,-1.946536,-0.96
-25.0,203.256335,200.723338,-2.532997,-1.25
-22.0,204.064012,202.544008,-1.520004,-0.74
-19.0,204.558201,202.604028,-1.954172,-0.96
-16.0,203.908473,203.140347,-0.768126,-0.38
-13.0,203.946393,203.024454,-0.921938,-0.45
-10.0,203.698606,202.743892,-0.954714,-0.47
-7.0,203.749262,204.027485,0.278222,0.14
-4.0,204.231720,203.430325,-0.801395,-0.39
-1.0,204.863090,202.874666,-1.988424,-0.97
2.0,205.043373,203.455384,-1.587989,-0.77
5.0,204.247828,203.541533,-0.706295,-0.35
8.0,205.313799,202.667294,-2.646505,-1.29
11.0,204.688868,202.673885,-2.014984,-0.98
14.0,204.826301,203.429958,-1.396343,-0.68
17.0,204.800237,202.981005,-1.819232,-0.89
20.0,203.680081,201.781536,-1.898545,-0.93
23.0,202.853329,202.756086,-0.097243,-0.05
26.0,202.889627,201.712958,-1.176670,-0.58
29.0,202.909167,201.645545,-1.263622,-0.62
32.0,202.148902,199.946729,-2.202173,-1.09
35.0,199.812118,198.791552,-1.020566,-0.51
38.0,198.844367,197.394179,-1.450188,-0.73
41.0,193.776968,191.738090,-2.038878,-1.05
44.0,178.233124,176.168059,-2.065065,-1.16
47.0,156.977840,155.219280,-1.758560,-1.12
50.0,142.089948,141.249711,-0.840237,-0.59
53.0,130.255621,129.248202,-1.007419,-0.77
56.0,113.999104,112.796898,-1.202206,-1.05
59.0,97.711338,97.320824,-0.390514,-0.40
62.0,90.658353,89.748324,-0.910030,-1.00
65.0,85.907185,85.528581,-0.378605,-0.44
68.0,81.028130,80.417022,-0.611109,-0.75
71.0,73.407307,73.183249,-0.224057,-0.31
74.0,67.451159,66.509662,-0.941497,-1.40
77.0,64.178122,63.675642,-0.502480,-0.78
80.0,62.332715,61.102457,-1.230258,-1.97
83.0,59.937096,59.759825,-0.177271,-0.30
86.0,58.201638,57.143394,-1.058245,-1.82
89.0,55.479295,54.432872,-1.046422,-1.89
92.0,53.226720,52.350827,-0.875894,-1.65
95.0,51.211372,50.693725,-0.517647,-1.01
98.0,49.812915,48.712412,-1.100503,-2.21
101.0,49.722652,49.202051,-0.520601,-1.05
104.0,48.958727,48.792611,-0.166117,-0.34
107.0,48.723859,48.689284,-0.034575,-0.07
110.0,49.026647,48.711916,-0.314731,-0.64
113.0,48.860513,48.189370,-0.671142,-1.37
