y_mm,dose_matrad_Gy,dose_pymatrad_Gy,diff_Gy,err_pct
-250.0,0.000000,0.000000,0.000000,nan
-247.0,0.000000,0.000000,0.000000,nan
-244.0,0.000000,0.000000,0.000000,nan
-241.0,0.000000,0.000000,0.000000,nan
-238.0,0.000000,0.000000,0.000000,nan
-235.0,0.000000,0.000000,0.000000,nan
-232.0,0.000000,0.000000,0.000000,nan
-229.0,0.000000,0.000000,0.000000,nan
-226.0,0.000000,0.000000,0.000000,nan
-223.0,0.000000,0.000000,0.000000,nan
-220.0,0.000000,0.000000,0.000000,nan
-217.0,0.000000,0.000000,0.000000,nan
-214.0,0.000000,0.000000,0.000000,nan
-211.0,0.000000,0.000000,0.000000,nan
-208.0,0.000000,0.000000,0.000000,nan
-205.0,0.000000,0.000000,0.000000,nan
-202.0,0.000000,0.000000,0.000000,nan
-199.0,0.000000,0.000000,0.000000,nan
-196.0,0.000000,0.000000,0.000000,nan
-193.0,0.000000,0.000000,0.000000,nan
-190.0,0.000000,0.000000,0.000000,nan
-187.0,0.000000,0.000000,0.000000,nan
-184.0,0.000000,0.000000,0.000000,nan
-181.0,0.000000,0.000000,0.000000,nan
-178.0,0.000000,0.000000,0.000000,nan
-175.0,0.000000,0.000000,0.000000,nan
-172.0,0.000000,0.000000,0.000000,nan
-169.0,0.000000,0.000000,0.000000,nan
-166.0,0.000000,0.000000,0.000000,nan
-163.0,0.000000,0.000000,0.000000,nan
-160.0,0.000000,0.000000,0.000000,nan
-157.0,0.000000,0.000000,0.000000,nan
-154.0,0.000000,0.000000,0.000000,nan
-151.0,0.000000,0.000000,0.000000,nan
-148.0,0.000000,0.000000,0.000000,nan
-145.0,0.000000,0.000000,0.000000,nan
-142.0,0.000000,0.000000,0.000000,nan
-139.0,0.000000,0.000000,0.000000,nan
-136.0,0.000000,0.000000,0.000000,nan
-133.0,0.000000,0.000000,0.000000,nan
-130.0,0.000000,0.000000,0.000000,nan
-127.0,0.000000,0.000000,0.000000,nan
-124.0,0.000000,0.000000,0.000000,nan
-121.0,0.000000,0.000000,0.000000,nan
-118.0,0.000000,0.000000,0.000000,nan
-115.0,0.000000,0.000000,0.000000,nan
-112.0,0.000000,0.000000,0.000000,nan
-109.0,0.000000,0.000000,0.000000,nan
-106.0,0.000000,0.000000,0.000000,nan
-103.0,0.000000,0.000000,0.000000,nan
-100.0,0.000000,0.000000,0.000000,nan
-97.0,0.000000,0.000000,0.000000,nan
-94.0,0.000000,0.000000,0.000000,nan
-91.0,0.000000,0.000000,0.000000,nan
-88.0,0.000000,0.000000,0.000000,nan
-85.0,0.000000,0.000000,0.000000,nan
-82.0,0.000000,0.000000,0.000000,nan
-79.0,0.000000,0.000000,0.000000,nan
-76.0,58.438429,73.116176,14.677747,25.12
-73.0,94.876128,100.603418,5.727290,6.04
-70.0,125.171872,126.437004,1.265133,1.01
-67.0,139.978624,140.597914,0.619291,0.44
-64.0,148.548785,146.782041,-1.766745,-1.19
-61.0,158.465629,156.451726,-2.013902,-1.27
-58.0,167.620661,166.765027,-0.855634,-0.51
-55.0,172.386349,170.011357,-2.374992,-1.38
-52.0,177.877706,175.522659,-2.355047,-1.32
-49.0,189.564687,187.845656,-1.719031,-0.91
-46.0,200.516324,199.098686,-1.417638,-0.71
-43.0,203.821917,201.180958,-2.640959,-1.30
-40.0,203.987515,202.754627,-1.232888,-0.60
-37.0,204.059173,203.382366,-0.676807,-0.33
-34.0,205.342261,203.624216,-1.718046,-0.84
-31.0,205.400248,203.771560,-1.628688,-0.79
-28.0,205.925272,203.640566,-2.284705,-1.11
-25.0,204.583936,202.641257,-1.942679,-0.95
-22.0,205.785032,203.791402,-1.993630,-0.97
-19.0,204.613248,203.693097,-0.920151,-0.45
-16.0,204.863090,202.874666,-1.988424,-0.97
-13.0,203.971817,203.305089,-0.666728,-0.33
-10.0,204.863120,203.145250,-1.717870,-0.84
-7.0,204.071391,204.138108,0.066716,0.03
-4.0,204.780015,204.045450,-0.734565,-0.36
-1.0,205.404421,204.043856,-1.360565,-0.66
2.0,205.208209,205.070582,-0.137627,-0.07
5.0,204.242600,203.744744,-0.497856,-0.24
8.0,204.632833,202.733781,-1.899051,-0.93
11.0,204.687343,203.179130,-1.508213,-0.74
14.0,203.534829,200.840771,-2.694057,-1.32
17.0,202.578653,200.874239,-1.704414,-0.84
20.0,196.802397,194.961217,-1.841180,-0.94
23.0,183.490524,182.306217,-1.184307,-0.65
26.0,175.686398,173.412936,-2.273462,-1.29
29.0,167.016922,165.780528,-1.236394,-0.74
32.0,149.909394,148.531967,-1.377426,-0.92
35.0,135.044645,134.815209,-0.229436,-0.17
38.0,130.651693,131.400152,0.748459,0.57
41.0,129.398877,128.307436,-1.091442,-0.84
44.0,128.416663,127.365710,-1.050953,-0.82
47.0,126.477466,126.183474,-0.293993,-0.23
50.0,126.017376,125.407005,-0.610371,-0.48
53.0,124.424294,123.656202,-0.768092,-0.62
56.0,122.736026,121.370476,-1.365550,-1.11
59.0,119.528612,119.281402,-0.247211,-0.21
62.0,115.632453,114.665449,-0.967004,-0.84
65.0,111.159046,110.955265,-0.203781,-0.18
68.0,104.182228,106.010400,1.828172,1.75
71.0,88.872083,90.390800,1.518716,1.71
74.0,53.485588,70.889819,17.404231,32.54
77.0,0.000000,0.000000,0.000000,nan
80.0,0.000000,0.000000,0.000000,nan
83.0,0.000000,0.000000,0.000000,nan
86.0,0.000000,0.000000,0.000000,nan
89.0,0.000000,0.000000,0.000000,nan
92.0,0.000000,0.000000,0.000000,nan
95.0,0.000000,0.000000,0.000000,nan
98.0,0.000000,0.000000,0.000000,nan
101.0,0.000000,0.000000,0.000000,nan
104.0,0.000000,0.000000,0.000000,nan
107.0,0.000000,0.000000,0.000000,nan
110.0,0.000000,0.000000,0.000000,nan
113.0,0.000000,0.000000,0.000000,nan
116.0,0.000000,0.000000,0.000000,nan
119.0,0.000000,0.000000,0.000000,nan
122.0,0.000000,0.000000,0.000000,nan
125.0,0.000000,0.000000,0.000000,nan
128.0,0.000000,0.000000,0.000000,nan
131.0,0.000000,0.000000,0.000000,nan
