z_mm,dose_matrad_Gy,dose_pymatrad_Gy,diff_Gy,err_pct
-160.0,0.000000,0.000000,0.000000,nan
-157.0,0.000000,0.000000,0.000000,nan
-154.0,0.000000,0.000000,0.000000,nan
-151.0,0.000000,0.000000,0.000000,nan
-148.0,0.000000,0.000000,0.000000,nan
-145.0,0.000000,0.000000,0.000000,nan
-142.0,0.000000,0.000000,0.000000,nan
-139.0,0.000000,0.000000,0.000000,nan
-136.0,0.000000,0.000000,0.000000,nan
-133.0,0.000000,0.000000,0.000000,nan
-130.0,0.000000,0.000000,0.000000,nan
-127.0,0.000000,0.000000,0.000000,nan
-124.0,0.000000,0.000000,0.000000,nan
-121.0,0.000000,0.000000,0.000000,nan
-118.0,0.000000,0.000000,0.000000,nan
-115.0,0.000000,0.000000,0.000000,nan
-112.0,0.000000,0.000000,0.000000,nan
-109.0,0.000000,0.000000,0.000000,nan
-106.0,0.000000,0.000000,0.000000,nan
-103.0,0.000000,0.000000,0.000000,nan
-100.0,0.000000,0.000000,0.000000,nan
-97.0,0.000000,0.067081,0.067081,nan
-94.0,0.000000,0.342125,0.342125,nan
-91.0,0.208020,0.857740,0.649720,312.34
-88.0,1.276808,1.248851,-0.027956,-2.19
-85.0,1.873004,1.864132,-0.008873,-0.47
-82.0,2.885108,2.612140,-0.272968,-9.46
-79.0,3.489461,3.671896,0.182435,5.23
-76.0,4.358921,4.475599,0.116678,2.68
-73.0,5.764405,5.461913,-0.302492,-5.25
-70.0,6.864493,7.172741,0.308248,4.49
-67.0,8.686142,7.973202,-0.712940,-8.21
-64.0,10.357378,9.662984,-0.694394,-6.70
-61.0,12.412176,12.674100,0.261924,2.11
-58.0,15.154516,14.957638,-0.196878,-1.30
-55.0,19.733967,19.257777,-0.476190,-2.41
-52.0,29.809161,28.819211,-0.989951,-3.32
-49.0,67.836477,67.478347,-0.358130,-0.53
-46.0,141.762982,140.686835,-1.076147,-0.76
-43.0,178.037771,175.433980,-2.603792,-1.46
-40.0,186.117407,184.014327,-2.103080,-1.13
-37.0,190.879182,188.242770,-2.636413,-1.38
-34.0,193.202083,190.894656,-2.307427,-1.19
-31.0,195.942437,193.401052,-2.541385,-1.30
-28.0,196.998248,195.675549,-1.322699,-0.67
-25.0,198.146158,196.106396,-2.039762,-1.03
-22.0,199.995026,198.698808,-1.296218,-0.65
-19.0,200.689902,198.931131,-1.758770,-0.88
-16.0,202.033971,200.851222,-1.182748,-0.59
-13.0,202.563559,201.235012,-1.328547,-0.66
-10.0,203.551990,201.546553,-2.005437,-0.99
-7.0,203.720005,202.496345,-1.223660,-0.60
-4.0,204.876732,201.836271,-3.040461,-1.48
-1.0,204.863090,202.874666,-1.988424,-0.97
2.0,204.941094,202.825879,-2.115214,-1.03
5.0,204.858000,202.528482,-2.329518,-1.14
8.0,204.335127,201.931990,-2.403137,-1.18
11.0,203.188590,201.356723,-1.831867,-0.90
14.0,202.170041,200.740939,-1.429102,-0.71
17.0,202.000638,199.731946,-2.268692,-1.12
20.0,199.915796,198.991901,-0.923896,-0.46
23.0,199.568521,197.274153,-2.294368,-1.15
26.0,197.849676,196.652073,-1.197603,-0.61
29.0,196.271062,194.903553,-1.367509,-0.70
32.0,195.374208,192.565092,-2.809116,-1.44
35.0,192.658453,190.270508,-2.387944,-1.24
38.0,189.596646,187.106063,-2.490582,-1.31
41.0,184.241854,181.645951,-2.595903,-1.41
44.0,168.592215,168.066803,-0.525412,-0.31
47.0,113.033496,111.415628,-1.617868,-1.43
50.0,46.983078,45.754220,-1.228858,-2.62
53.0,24.068922,24.489596,0.420673,1.75
56.0,17.703674,17.609890,-0.093784,-0.53
59.0,14.534788,14.247740,-0.287048,-1.97
62.0,11.216663,11.374224,0.157560,1.40
65.0,9.599874,9.228455,-0.371420,-3.87
68.0,8.011696,7.714852,-0.296844,-3.71
71.0,6.514956,6.399226,-0.115729,-1.78
74.0,5.292762,5.017260,-0.275502,-5.21
77.0,4.686316,3.597341,-1.088974,-23.24
80.0,3.362379,2.593459,-0.768921,-22.87
83.0,2.611349,2.014625,-0.596725,-22.85
86.0,1.848768,1.509456,-0.339312,-18.35
89.0,1.362537,0.936670,-0.425867,-31.26
92.0,0.185238,0.673051,0.487813,263.34
95.0,0.000000,0.183375,0.183375,nan
98.0,0.000000,0.000000,0.000000,nan
101.0,0.000000,0.000000,0.000000,nan
104.0,0.000000,0.000000,0.000000,nan
107.0,0.000000,0.000000,0.000000,nan
110.0,0.000000,0.000000,0.000000,nan
113.0,0.000000,0.000000,0.000000,nan
116.0,0.000000,0.000000,0.000000,nan
119.0,0.000000,0.000000,0.000000,nan
122.0,0.000000,0.000000,0.000000,nan
125.0,0.000000,0.000000,0.000000,nan
128.0,0.000000,0.000000,0.000000,nan
131.0,0.000000,0.000000,0.000000,nan
134.0,0.000000,0.000000,0.000000,nan
137.0,0.000000,0.000000,0.000000,nan
140.0,0.000000,0.000000,0.000000,nan
143.0,0.000000,0.000000,0.000000,nan
146.0,0.000000,0.000000,0.000000,nan
149.0,0.000000,0.000000,0.000000,nan
152.0,0.000000,0.000000,0.000000,nan
155.0,0.000000,0.000000,0.000000,nan
158.0,0.000000,0.000000,0.000000,nan
